FromLevel	FromCode	FromName_da	FromName_en	FromProperty_PropertyName	ToLevel	ToCode	ToName_da	ToName_en	ToProperty_PropertyName
2	3.37.4	Snefang, rækværker, afskærmninger m.m.	Snow trap, handrails, balustrades, etc.						
2	3.37.5	Inspektionslemme, døre m.m.	Inspection hatches, doors, etc.						
2	3.37.6	Tagudhæng, vindskeder, sternbrædder og inddækninger	Eaves, barge boards, fascia boards and flashings						
1	3.38	Kompletterende bygningsdele bygning, øvrige	Other completions						
2	3.38.1	Kompletterende bygningsdele bygning, øvrige	Other completions						
0	4	Overfladebygningsdele	Applied finishes						
1	4.40	Belægninger, terræn	Roads, paths, pavings						
2	4.40.1	Overflader, sekundære bygninger	Secondary buildings, finishes						
2	4.40.2	Stier, belægninger	Paths						
2	4.40.3	Veje, parkeringsarealer, belægninger	Roads, parkings areas, pavements						
2	4.40.4	Opholdsarealer, belægninger	Open spaces, pavements						
2	4.40.5	Sports- og havearealer, belægninger	Sports and green areas, pavements						
2	4.40.6	Trapper og ramper i terræn, overflader	Stairs and ramps in ground, finishes						
1	4.41	Udvendige vægoverflader	Applied wall finishes, exterior						
2	4.41.1	Kælderydervægge, udvendige overflader	Exterior basement walls, exterior surfaces						
2	4.41.2	Kælderydervægge, kompletterende del, overflader	Exterior basement walls, completions, surfaces						
2	4.41.3	Ydervægge, udvendige overflader	Exterior walls, exterior surfaces						
2	4.41.4	Ydervægge, kompletterende dele, overflader	Exterior walls, completions, surfaces						
1	4.42	Indvendige vægoverflader	Applied wall finishes, interior						
2	4.42.1	Indvendige vægoverflader	Applied wall finishes, interior						
2	4.42.2	Indervægge kompletterende dele, overflader	Interior walls, completions, surfaces						
1	4.43	Dæk og gulve, overflader	Applied floor finishes						
2	4.43.1	Terrændæk, overflader	Ground slabs, surfaces						
2	4.43.2	Etagedæk, overflader	Slabs, surfaces						
1	4.44	Trapper og ramper, overflader	Applied stair finishes						
2	4.44.1	Kældertrapper og kælderramper, udvendige, overflader	Basement stairs and ramps, exterior, surfaces						
2	4.44.2	Trapper, udvendige, overflader	Stairs, exterior, surfaces						
2	4.44.3	Trapper, indvendige, overflader	Stairs, interior, surfaces						
2	4.44.4	Ramper, udvendige, overflader	Ramps, exterior, surfaces						
2	4.44.5	Ramper, indvendige, overflader	Ramps, interior, surfaces						
1	4.45	Lofter, overflader	Applied ceiling finishes						
2	4.45.1	Lofter, overflader	Applied ceiling finishes						
1	4.46	Altaner, overflader	Applied balcony finishes						
2	4.46.1	Altaner, oversider, overflader	Balconies and walkways, topside						
2	4.46.2	Altaner, undersider, overflader	Balconies and walkways, underside						
1	4.47	Tage, overflader	Applied roof finishes						
2	4.47.1	Tage, overflader	Applied roof finishes						
1	4.48	Overflader bygning, øvrige	Other applied finishes (building) 						
2	4.48.1	Overflader bygningsdele, øvrige	Other surfaces						
0	5	VVS-anlæg	Services (mainly piped, ducted)						
1	5.50	VVS-anlæg, terræn	Site services, piped and ducted						
2	5.50.1	Afløb, stikledninger og overfladeafvanding	Sewage pipes, service pipes and drainage						
2	5.50.2	Drænledninger	Drain pipes						
2	5.50.3	Vand, stikledninger, brandhaner, vandposte	Water, service pipes, fire hydrants, water pumps etc.						
2	5.50.4	Naturgas, stikledninger	Natural gas pipes						
2	5.50.5	Fjernvarme, stikledninger	District heating pipes						
2	5.50.6	Tanke for olie og gas	Tanks for oil and gas						
2	5.50.7	Ledninger m.m. for jordvarme	Geothermal energy pipelines						
1	5.51	Affald	Waste disposal systems						
2	5.51.1	Affaldsanlæg	Waste treatment system						
1	5.52	Afløb og sanitet	Drainage systems						
2	5.52.1	Afløb under bygning (til nærmeste brønd eller ledning)	Drain below building (to nearest well or pipe)						
2	5.52.2	Dræn under bygning (omfangsdræn)	Drain below building (perimeter drain)						
2	5.52.3	Faldstammer, afløbsskåle	Soil vent pipes, pans						
2	5.52.4	Tagrender og nedløb	Gutters and rainwater pipes						
2	5.52.5	Forbrugsanlæg (vaske, vaskemaskiner inkl. armaturer for vand)	Utilisation systems (sinks, washing machines, etc. including fixtures for water)						
1	5.53	Vand	Liquid supply systems						
2	5.53.1	Forsyningsanlæg (målere, beholdere m.m.)	Supply systems (meters, tanks, etc.)						
2	5.53.2	Distributionsanlæg (rør, ventiler m.m.)	Distribution systems (ducts, vents, etc.)						
2	5.53.3	Forbrugsanlæg (diverse aftapning)	Utilisation systems (taps, etc.)						
1	5.54	Luftarter	Gases supply systems						
2	5.54.1	Forsyningsanlæg (kompressorer, målere, beholdere m.m.)	Supply systems (compressors, meters, tanks, etc.)						
2	5.54.2	Distributionsanlæg (rør, ventiler m.m.)	Distribution systems (ducts, vents, etc.)						
2	5.54.3	Forbrugsanlæg (armaturer, gasradiatorer m.m.)	Utilisation systems (fixtures, gas radiators, etc.)						
1	5.55	Køling	Cooling systems						
2	5.55.1	Forsyningsanlæg (aggregater m.m.)	Supply systems (units, etc.)						
