FromLevel;FromCode;FromName_da;FromName_en;FromProperty_PropertyName;ToLevel;ToCode;ToName_da;ToName_en;ToProperty_PropertyName
3;314;Udvendige vinduesopluk, facadesystemer;;;;31.4;Vinduer, ydervægge;;
3;315;Udvendige ruder, blændfelter og karmprofiler, facadesystemer;;;;;;;
3;316;Udvendige porte og karusseldøre;;;;31.3;Porte, ydervægge;;
3;317;Udvendige afskærmninger;;;;;;;
3;319;Øvrigt, Ydervægskompletteringer;;;;;;;
2;32;Indervægge, komplettering;;;;32;Indervægge, komplettering;;
3;321;Indvendige døre;;;;32.1;Døre, indervægge;;
3;322;Indvendige vinduer, luger og lemme;;;;32.2;Luger, lemme og vinduer;;
3;323;Indvendige døre, glasvægsystem;;;;32.1;Døre, indervægge;;
3;324;Indvendige vinduesopluk, glasvægsystemer;;;;32.2;Luger, lemme og vinduer;;
3;325;Indvendige ruder, blændfelter og karmprofiler,glasvægsystemer;;;;;;;
3;326;Indvendige porte og karruseldøre;;;;;;;
3;327;Bevægelige indervægge;;;;32.3;Bevægelige indervægge;;
3;328;Indvendige, afskærmning;;;;;;;
3;329;Øvrigt, Indervægskompletteringer;;;;;;;
2;33;Dæk og gulve, komplettering;;;;33;Dæk, komplettering;;
3;331;Opbyggede gulve;;;;33.1;Opbyggede gulve;;
3;332;Svømmende gulve;;;;33.2;Svømmende gulve;;
3;333;Riste, måtterammer;;;;33.3;Lemme, riste, måtterammer m.m;;
3;334;Støbte- og flydende gulve;;;;;;;
3;335;FRI;;;;;;;
3;336;FRI;;;;;;;
3;337;Gulvlemme;;;;;;;
3;338;Gelændere, rækværker og håndlister;;;;;;;
3;339;Øvrigt, Dækkompletteringer;;;;;;;
2;34;Trapper og ramper, komplettering;;;;34;Trapper og ramper, komplettering;;
3;341;Gelændere, rækværker og håndlister;;;;;;;
3;342;FRI;;;;;;;
3;343;FRI;;;;;;;
3;349;Øvrigt, Trappekompletteringer;;;;;;;
2;35;Lofter, komplettering;;;;35;Lofter, komplettering;;
3;351;Indvendige nedhængte lofter;;;;35.1;Nedhængte lofte;;
3;352;Udvendige nedhængte lofter;;;;35.1;Nedhængte lofte;;
3;353;Indvendige påbyggede lofter;;;;35.2;Påbyggede lofter;;
3;354;Udvendige påbyggede lofter;;;;35.2;Påbyggede lofter;;
3;355;Indvendige loftskørter;;;;;;;
3;356;Udvendige loftskørter;;;;;;;
3;357;FRI;;;;;;;
3;359;Øvrigt, Loftkompletteringer;;;;;;;
2;36;Altaner og altangange, komplettering;;;;36;Altaner, komplettering;;
3;361;Rækværker, brystninger;;;;36.1;Rækværker, brystninger;;
