level;FromCode;FromName_da;FromName_en;ToCode;ToName_da;ToName_en
2;3.37.4;Snefang, rækværker, afskærmninger m.m.;;;Tag;
2;3.37.5;Inspektionslemme, døre m.m.;;;Tag;
2;3.37.6;Tagudhæng, vindskeder, sternbrædder og inddækninger;;;Tag;
1;3.38;Kompletterende bygningsdele bygning, øvrige;;;Øvrige bygningsdele;
2;3.38.1;Kompletterende bygningsdele bygning, øvrige;;;Øvrige bygningsdele;
0;4;Overfladebygningsdele;;;;
1;4.40;Belægninger, terræn;;;Øvrige bygningsdele;
2;4.40.1;Overflader, sekundære bygninger;;;Øvrige bygningsdele;
2;4.40.2;Stier, belægninger;;;Øvrige bygningsdele;
2;4.40.3;Veje, parkeringsarealer, belægninger;;;Øvrige bygningsdele;
2;4.40.4;Opholdsarealer, belægninger;;;Øvrige bygningsdele;
2;4.40.5;Sports- og havearealer, belægninger;;;Arealudvidelse;
2;4.40.5;Sports- og havearealer, belægninger;;;Øvrige bygningsdele;
2;4.40.6;Trapper og ramper i terræn, overflader;;;Øvrige bygningsdele;
1;4.41;Udvendige vægoverflader;;;Ydervægge;
2;4.41.1;Kælderydervægge, udvendige overflader;;;Fundament og kælder;
2;4.41.2;Kælderydervægge, kompletterende del, overflader;;;Fundament og kælder;
2;4.41.3;Ydervægge, udvendige overflader;;;Ydervægge;
2;4.41.4;Ydervægge, kompletterende dele, overflader;;;Ydervægge;
1;4.42;Indvendige vægoverflader;;;Øvrige bygningsdele;
2;4.42.1;Indvendige vægoverflader;;;Øvrige bygningsdele;
2;4.42.2;Indervægge kompletterende dele, overflader;;;Øvrige bygningsdele;
1;4.43;Dæk og gulve, overflader;;;Etageadskillelser;
2;4.43.1;Terrændæk, overflader;;;Etageadskillelser;
2;4.43.2;Etagedæk, overflader;;;Etageadskillelser;
1;4.44;Trapper og ramper, overflader;;;Altaner og altangange;
2;4.44.1;Kældertrapper og kælderramper, udvendige, overflader;;;Altaner og altangange;
2;4.44.2;Trapper, udvendige, overflader;;;Altaner og altangange;
2;4.44.3;Trapper, indvendige, overflader;;;Altaner og altangange;
2;4.44.4;Ramper, udvendige, overflader;;;Altaner og altangange;
2;4.44.5;Ramper, indvendige, overflader;;;Altaner og altangange;
1;4.45;Lofter, overflader;;;Etageadskillelser;
2;4.45.1;Lofter, overflader;;;Etageadskillelser;
1;4.46;Altaner, overflader;;;Altaner og altangange;
2;4.46.1;Altaner, oversider, overflader;;;Altaner og altangange;
2;4.46.2;Altaner, undersider, overflader;;;Etageadskillelser;
1;4.47;Tage, overflader;;;Tag;
2;4.47.1;Tage, overflader;;;Tag;
1;4.48;Overflader bygning, øvrige;;;Øvrige bygningsdele;
2;4.48.1;Overflader bygningsdele, øvrige;;;Øvrige bygningsdele;
0;5;VVS-anlæg;;;;
1;5.50;VVS-anlæg, terræn;;;Afløb i jord og bygninger;
2;5.50.1;Afløb, stikledninger og overfladeafvanding;;;Afløb i jord og bygninger;
2;5.50.2;Drænledninger;;;Afløb i jord og bygninger;
2;5.50.3;Vand, stikledninger, brandhaner, vandposte;;;Afløb i jord og bygninger;
2;5.50.4;Naturgas, stikledninger;;;Afløb i jord og bygninger;
2;5.50.5;Fjernvarme, stikledninger;;;Afløb i jord og bygninger;
2;5.50.6;Tanke for olie og gas;;;Afløb i jord og bygninger;
2;5.50.6;Tanke for olie og gas;;;Øvrige bygningsdele;
2;5.50.7;Ledninger m.m. for jordvarme;;;Afløb i jord og bygninger;
1;5.51;Affald;;;Tekniske anlæg;
2;5.51.1;Affaldsanlæg;;;Tekniske anlæg;
1;5.52;Afløb og sanitet;;;Afløb i jord og bygninger;
1;5.52;Afløb og sanitet;;;Tag;
1;5.52;Afløb og sanitet;;;Tekniske anlæg;
2;5.52.1;Afløb under bygning (til nærmeste brønd eller ledning);;;Afløb i jord og bygninger;
2;5.52.2;Dræn under bygning (omfangsdræn);;;Afløb i jord og bygninger;
2;5.52.3;Faldstammer, afløbsskåle;;;Tekniske anlæg;
2;5.52.4;Tagrender og nedløb;;;Tag;
2;5.52.5;Forbrugsanlæg (vaske, vaskemaskiner inkl. armaturer for vand);;;Tekniske anlæg;
1;5.53;Vand;;;Tekniske anlæg;
2;5.53.1;Forsyningsanlæg (målere, beholdere m.m.);;;Tekniske anlæg;
2;5.53.2;Distributionsanlæg (rør, ventiler m.m.);;;Tekniske anlæg;
2;5.53.3;Forbrugsanlæg (diverse aftapning);;;Tekniske anlæg;
1;5.54;Luftarter;;;Tekniske anlæg;
2;5.54.1;Forsyningsanlæg (kompressorer, målere, beholdere m.m.);;;Tekniske anlæg;
2;5.54.2;Distributionsanlæg (rør, ventiler m.m.);;;Tekniske anlæg;
2;5.54.3;Forbrugsanlæg (armaturer, gasradiatorer m.m.);;;Tekniske anlæg;
1;5.55;Køling;;;Tekniske anlæg;
2;5.55.1;Forsyningsanlæg (aggregater m.m.);;;Tekniske anlæg;
2;5.55.2;Distributionsanlæg (rør, ventiler m.m.);;;Tekniske anlæg;
2;5.55.3;Forbrugsanlæg (fordampere, køleflader, regulering, automatik m.m.);;;Tekniske anlæg;
1;5.56;Varme;;;Tekniske anlæg;
