Level	FromCode	FromName_da	FromName_en	ToCode	ToName_da	ToName_en
2	3.33.1	Opbyggede gulve		bk.gul	Gulv	
2	3.33.2	Svømmende gulve		bk.gul	Gulv	
2	3.33.3	Lemme, riste, måtterammer m.m.		bk.gul	Gulv	
2	3.33.4	Sokler til maskiner		bk.fun	Fundament	
1	3.34	Trapper og ramper, komplettering				
2	3.34.1	Gelændere og rækværker, udvendige		bk.tra	Trappe	
2	3.34.2	Gelændere og rækværker, indvendige		bk.tra	Trappe	
2	3.34.3	Riste, måtterammer m.m.		bk.tra	Trappe	
1	3.35	Lofter, komplettering				
2	3.35.1	Nedhængte lofter		bk.lof	Loft	
2	3.35.2	Påbyggede lofter		bk.lof	Loft	
1	3.36	Altaner				
2	3.36.1	Rækværker, brystninger		bk.alt	Altan	
1	3.37	Tage, komplettering				
2	3.37.1	Kviste m.m.		bk.kvi	Kvist	
2	3.37.2	Ovenlys og røglemme		bk.lug	Luger og lemme	
2	3.37.3	Solskærme til ovenlys		bk.vin	Vindue	
2	3.37.4	Snefang, rækværker, afskærmninger m.m.		bk.tad	Tagdækning	
2	3.37.5	Inspektionslemme, døre m.m.		bk.dør	Dør	
2	3.37.6	Tagudhæng, vindskeder, sternbrædder og inddækninger		bk.tad	Tagdækning	
1	3.38	Kompletterende bygningsdele bygning, øvrige				
2	3.38.1	Kompletterende bygningsdele bygning, øvrige				
0	4	Overfladebygningsdele		bk.ovf	Overflader	
1	4.40	Belægninger, terræn				
2	4.40.1	Overflader, sekundære bygninger		ti.sby	Småbygninger	
2	4.40.2	Stier, belægninger		tk.bel	Belægninger	
2	4.40.3	Veje, parkeringsarealer, belægninger		tk.bel	Belægninger	
2	4.40.4	Opholdsarealer, belægninger		tk.bel	Belægninger	
2	4.40.5	Sports- og havearealer, belægninger		tk.bel	Belægninger	
2	4.40.6	Trapper og ramper i terræn, overflader		tk.tra	Trapper og ramper	
1	4.41	Udvendige vægoverflader				
2	4.41.1	Kælderydervægge, udvendige overflader		bk.ovf	Overflade	
2	4.41.2	Kælderydervægge, kompletterende del, overflader		bk.ovf	Overflade	
2	4.41.3	Ydervægge, udvendige overflader		bk.ovf	Overflade	
2	4.41.4	Ydervægge, kompletterende dele, overflader		bk.ovf	Overflade	
1	4.42	Indvendige vægoverflader				
2	4.42.1	Indvendige vægoverflader		bk.ovf	Overflade	
2	4.42.2	Indervægge kompletterende dele, overflader		bk.ovf	Overflade	
1	4.43	Dæk og gulve, overflader				
2	4.43.1	Terrændæk, overflader		bk.dæk	Dækkonstruktion	
2	4.43.2	Etagedæk, overflader		bk.dæk	Dækkonstruktion	
1	4.44	Trapper og ramper, overflader				
2	4.44.1	Kældertrapper og kælderramper, udvendige, overflader		bk.ovf	Overflade	
2	4.44.2	Trapper, udvendige, overflader		bk.ovf	Overflade	
2	4.44.3	Trapper, indvendige, overflader		bk.ovf	Overflade	
2	4.44.4	Ramper, udvendige, overflader		bk.ovf	Overflade	
2	4.44.5	Ramper, indvendige, overflader		bk.ovf	Overflade	
1	4.45	Lofter, overflader		bk.lof	Loft	
2	4.45.1	Lofter, overflader				
1	4.46	Altaner, overflader				
2	4.46.1	Altaner, oversider, overflader		bk.alt	Altan	
2	4.46.2	Altaner, undersider, overflader		bk.alg	Altangang	
1	4.47	Tage, overflader				
2	4.47.1	Tage, overflader		bk.tad	Tagdækning	
1	4.48	Overflader bygning, øvrige				
2	4.48.1	Overflader bygningsdele, øvrige				
