level	FromCode	FromName_da	FromName_en	ToCode	ToName_da	ToName_en
2	5.51.1	Affaldsanlæg				
1	5.52	Afløb og sanitet				
2	5.52.1	Afløb under bygning (til nærmeste brønd eller ledning)				
2	5.52.2	Dræn under bygning (omfangsdræn)				
2	5.52.3	Faldstammer, afløbsskåle				
2	5.52.4	Tagrender og nedløb				
2	5.52.5	Forbrugsanlæg (vaske, vaskemaskiner inkl. armaturer for vand)				
1	5.53	Vand				
2	5.53.1	Forsyningsanlæg (målere, beholdere m.m.)				
2	5.53.2	Distributionsanlæg (rør, ventiler m.m.)				
2	5.53.3	Forbrugsanlæg (diverse aftapning)				
1	5.54	Luftarter				
2	5.54.1	Forsyningsanlæg (kompressorer, målere, beholdere m.m.)				
2	5.54.2	Distributionsanlæg (rør, ventiler m.m.)				
2	5.54.3	Forbrugsanlæg (armaturer, gasradiatorer m.m.)				
1	5.55	Køling				
2	5.55.1	Forsyningsanlæg (aggregater m.m.)				
2	5.55.2	Distributionsanlæg (rør, ventiler m.m.)				
2	5.55.3	Forbrugsanlæg (fordampere, køleflader, regulering, automatik m.m.)				
1	5.56	Varme				
2	5.56.1	Forsyningsanlæg (kedler, varmevekslere, målere m.m.)				
2	5.56.2	Distributionsanlæg (rør, ventiler m.m.)				
2	5.56.3	Forbrugsanlæg (varmeflader, varmeventilatorer, lokal automatik og regulering m.m.)				
1	5.57	Ventilationsanlæg				
2	5.57.1	Forsyningsanlæg (ventilationscentraler m.m.)				
2	5.57.2	Distributionsanlæg (rør, ventiler m.m.)				
2	5.57.3	Forbrugsanlæg (armaturer, emhætter, aftrækshætter m.m.)				
1	5.58	VVS-anlæg, bygning, øvrige				
2	5.58.1	Sprinkleranlæg				
2	5.58.2	Vandrensningsanlæg				
2	5.58.3	Specialanlæg for væsker				
0	6	El- og mekaniske anlæg				
1	6.60	El- og mekaniske anlæg, terræn				
2	6.60.1	Stikledninger udenfor bygningen				
2	6.60.2	Vej- og pladsbelysningsanlæg				
1	6.62	Højspændingsanlæg				
2	6.62.1	Forsyning				
2	6.62.2	Hovedfordeling				
2	6.62.3	Maskiner og maskinanlæg				
2	6.62.4	El-tekniske anlæg				
2	6.62.5	Sekundære højspændingsanlæg				
1	6.63	Lavspændingsanlæg				
2	6.63.1	Forsyning				
2	6.63.2	Hovedfordeling				
2	6.63.3	Maskiner og maskinanlæg				
2	6.63.4	El-tekniske anlæg				
2	6.63.5	Belysningsanlæg				
2	6.63.6	El-varme				
2	6.63.7	El-apparater				
1	6.64	Elektronik og svagstrøm				
2	6.64.1	Kommunikationsanlæg				
2	6.64.2	Dataanlæg				
2	6.64.3	Informationsanlæg				
2	6.64.4	Sikringsanlæg				
2	6.64.5	Proceskontrolanlæg				
1	6.66	Transportanlæg				
2	6.66.1	Elevatorer				
2	6.66.2	Rullende trapper				
2	6.66.3	Transportbånd				
1	6.67	Mekaniske anlæg, øvrige				
2	6.67.1	Mekaniske anlæg, øvrige				
1	6.68	El-anlæg, øvrige				
2	6.68.1	El-anlæg, øvrige				
0	7	Inventar og udstyr				
1	7.70	Inventar, terræn				
2	7.70.1	Tekniske inventarenheder, p-automater m.m.				
2	7.70.2	Tavler, skilte og skærme				
2	7.70.3	Opbevaring, affaldsstativer, cykelstativer, postkasser m.m.				
2	7.70.4	Bordmøbler				
2	7.70.5	Siddemøbler				
1	7.71	Teknisk inventar				
2	7.71.1	Automater for mad, drikke, sæbe m.m.				
2	7.71.2	Løse lamper				
2	7.71.3	Brandslukningsudstyr				
1	7.72	Tavler, skilte og skærme				
2	7.72.1	Skilte				
2	7.72.2	Spejle				
2	7.72.3	AV-udrustning, tavler, projektorskærme				
1	7.73	Opbevaringsmøbler				
2	7.73.1	Hylder				
2	7.73.2	Skabe og skuffemøbler				
2	7.73.3	Køkkenskabe				
2	7.73.4	Toiletskabe				
1	7.74	Bordmøbler				
2	7.74.1	Bordplader				
2	7.74.2	Arbejdsborde				
2	7.74.3	Borde til ophold og hvile				
1	7.75	Siddemøbler				
2	7.75.1	Stole, bænke m.m . til arbejdsbrug				
2	7.75.2	Stole, bænke, sofaer m.m. til ophold og hvile				
1	7.76	Liggemøbler				
2	7.76.1	Sengemøbler til alm. boliger				
2	7.76.2	Sengemøbler til institutioner m.m.				
1	7.77	Boligtekstiler og afskærmning				
2	7.77.1	Gardiner og forhæng				
2	7.77.2	Gulvtæpper og måtter				
2	7.77.3	Persienner				
2	7.77.4	Skærmvægge				
1	7.78	Øvrigt inventar				
2	7.78.1	Øvrigt inventar				
2	7.78.2	Specialinventar				
